608_0 	ADC8VBKOVOCRR 	This essay is about the language of Bengali
81920_9 	A3F9QBUALMKO1 	Copulation is not only exclusive for human being.
81995_0 	A3F9QBUALMKO1 	When the penis becomes erect in excitement and reaches extreme level of excitement during sexual intercourse or masturbation then semen comes out&#44; this incident is called ejaculation.
81995_1 	A16IVTYAYSV3SA 	Through ejaculation of sperm men gets the highest pleasure or attains the orgasm.
81995_2 	A16IVTYAYSV3SA 	But women don&#39;t ejaculate anything to attain orgasm.
822_101 	AKZBNT298EBKI 	All citizens have the right to vote when 18 years or older.
822_102 	A2HFASY1SVXPSP 	As per the Caretaker Government system of 1996&#44; the Caretaker Government comes in power after the end of normal tenure of governemnt
822_103 	A2JPXAF2MC24F7 	During this period governmental power is controlled by a group of non-party&#44; impartial group of advisors.
822_104 	A2JPXAF2MC24F7 	The last retired Chief Justice assumes the responsibility of Chief Advisor.
822_105 	A2JPXAF2MC24F7 	Parliamentary election takes place under Care-taker Government.
822_106 	A2JPXAF2MC24F7 	The President is the &#39;Head of the State&#39; but his power is limited.
822_107 	ADC8VBKOVOCRR 	The Presidential election is held every five years by the vote of Member of the Parliament.
822_108 	A2JPXAF2MC24F7 	However&#44; during the parliamentary election the President performs an important role under the Care-taker Government.
822_109 	ADC8VBKOVOCRR 	The actual power is held by the Prime Minister who is the head of the Government
822_110 	A29I4DG0VTW9X3 	The prime minister must be a parliament member.
822_111 	A2JPXAF2MC24F7 	Ministers of the Council of Ministers are selected by the Prime Minister and are appointed by the President.
822_113 	AKZBNT298EBKI 	There are different ministries to perform different functions of the country.
822_114 	A2LG0SJYIUIRNC 	Prime minister is mainly responsible to appoint different minister for different ministry and they lead their own ministry.
822_115 	AKZBNT298EBKI 	But the responsibilities of the chief executive in each ministry are carried out by a permanent secretary.
822_116 	AKZBNT298EBKI 	There are 38 ministries in Bangladesh.
822_117 	A2HFASY1SVXPSP 	Larger Ministries like the Ministry of Finance is divided into more than one divisions.
822_118 	AKZBNT298EBKI 	There is a government administration system in each district and sub district.
822_119 	A2HFASY1SVXPSP 	The main duties of a minstry is policy making which are accomplished by different relevent divisions&#44; organizations&#44; boards&#44; commissions&#44; academies&#44; etc.
822_120 	A28YA9BQFLXOPT 	There are different houses for the President and Prime-Minister.
822_121 	AKZBNT298EBKI 	Supreme Court is the highest court in Bangladesh.
822_122 	A2HFASY1SVXPSP 	The chief justice and other justices are appointed by the President.
822_133 	A1D39ISETGHJB 	If any Bangladeshi citizen living abroad accepts citizenship from north America (USA and Canada)&#44; Australia or Europe&#44; their citizenship will remain in effect as long as there is no clause to give away the loyalty towards Bangladesh in their citizenship oath.
822_135 	ADC8VBKOVOCRR 	A Bangladeshi citizen can use his or her passport to travel to any country in the world except Israel.
822_136 	A1D39ISETGHJB 	Administrative Division
822_140 	A1D39ISETGHJB 	Divisional map of Bangladesh
822_141 	A1D39ISETGHJB 	Bangladesh is divided into seven administrative divisions.
822_142 	A1D39ISETGHJB 	These are Dhaka&#44; Chittagong&#44; Rajshahi&#44; Khulna&#44; Barishal&#44; Sylhet and Rongpur.
822_143 	A16IVTYAYSV3SA 	There are a number of districts in each division.
822_144 	A16IVTYAYSV3SA 	The total number of districts of Bangladesh is 64.
822_145 	A16IVTYAYSV3SA 	The smallest administrative area of district is called a sub-district or a Thana (Jurisdictional area of a Police Station).
822_146 	A3F9QBUALMKO1 	There are 507 sub districts in whole the country.
822_147 	A3F9QBUALMKO1 	These police stations are divided into 4484 Union&#44; 5990 Mauja (blocks) and 87319 Villages.
822_148 	A3F9QBUALMKO1 	There are no elected administrators in District&#44; Police and division circle; these areas are controlled by government appointed administrators.
822_150 	A2HFASY1SVXPSP 	As of the parliamentary act&#44; 1997 25% seats are reserved in every union for female candidates
822_151 	A16IVTYAYSV3SA 	Besides there are 6 City Corporations (Dhaka&#44; Chattagram&#44; Khulna&#44; Rajshahi&#44; Shillet and Barishal) and 223 municipalities are there in the urban regions.
822_152 	A2HFASY1SVXPSP 	Mayor and public representatives in all of these are elected by direct public votes.
822_153 	A2HFASY1SVXPSP 	The capital city Dhaka is the largest city in Bangladesh.
822_154 	A16IVTYAYSV3SA 	Among the other notable cities there are: Chattagram&#44; Rajshahi&#44; Khulna&#44; Shillet&#44; Barishal&#44; Cox&#39;s Bazar&#44; Comilla&#44; Mymensingh&#44; Rangpur&#44; Jessore&#44; Tongi&#44; Ghazipur and Narayan Ganj.
822_155 	A16IVTYAYSV3SA 	Geography and Climate
822_159 	AAF85ZPWB65DY 	Satellite image of Bangladesh
822_160 	A2HFASY1SVXPSP 	This Bengal delta is formed by the confluence of the two longest rivers in South Asia Ganges and Brahmaputra to eventually empty into the Bay of Bengal.
822_161 	AAF85ZPWB65DY 	Remnants of civilization in the greater Bengal region date back three thousand years&#44; so after crossing so many ups and downs&#44; at present Bangladesh is recognized as an independent country.
822_162 	A31II4QBW2DURA 	Geographically Bangladesh is located in South Asia in between India and Mynamar.
822_163 	AAF85ZPWB65DY 	The area of this country is 0.14757 million square kilometers.
822_165 	A2HFASY1SVXPSP 	The Indian state of West Bengal is in its west.
822_166 	A28YA9BQFLXOPT 	In the north is the states of West Bengal&#44; Assam&#44; Meghalaya.
822_167 	A31II4QBW2DURA 	Assam&#44; Tripura and Mizoram are located on the east.
822_168 	A2HFASY1SVXPSP 	Apart from India it has border with Myanmanr in its eastern side.
822_169 	A3PSUT241Y12MZ 	The Bay of Bengal lies at the south.
822_170 	A2JPXAF2MC24F7 	The length of land boundary is 4&#44;246 kilometer of which 94% is with India and the rest 6% with Myanmar.
822_171 	A3PSUT241Y12MZ 	Bangladesh has a coastline of 580 kilometer.
822_172 	A3PSUT241Y12MZ 	Cox&#39;s Bazar&#44; located at the south eastern part of Bangladesh&#44;is one of the longest beaches of the world.
822_173 	A3PSUT241Y12MZ 	The highest point in Bangladesh is the Modok hill&#44;which is 1&#44;052 meter (3&#44;451 feet)high&#44; located at Chittagong Hill Tracts in the south eastern part of Bangladesh.
822_174 	A3F9QBUALMKO1 	A major part of the coastline area of Bay of Bengal is covered by Sundarban&#44; which is the world&#39;s largest Mangrove forest.
822_175 	A2JPXAF2MC24F7 	In Sundarban&#44; there are Royal Bengal tigers&#44; spotted deer and different types of animals.
822_177 	A3F9QBUALMKO1 	The weather of Bangladesh is temperate.
822_178 	A3PSUT241Y12MZ 	Based on the weather and climate&#44; there are six seasons-Summer&#44;Monsoon&#44;Autumn&#44;Late Autumn&#44;Winter and Spring.
822_179 	A16IVTYAYSV3SA 	The quantity of annual rainfall is 1500-2500 millimeter or 60-100 inches; in the Eastern part this is 3750 millimeter or 150 inches.
822_180 	A16IVTYAYSV3SA 	The average temperature of Bangladesh is 25 degree Celsius.
822_181 	A16IVTYAYSV3SA 	The Tropic of Cancer passes through Bangladesh.
822_182 	A16IVTYAYSV3SA 	The influences of the tropical climate are experienced here.
822_183 	A16IVTYAYSV3SA 	A moderate winter is experienced here from November to March.
822_184 	A3KUMU0O6YW08U 	The summer season is from March to June.
822_185 	A3F9QBUALMKO1 	From June to October it is the monsoon season.
822_186 	A2HFASY1SVXPSP 	There is unusually high rainfall because of the Monsoon weather.
822_187 	A2HFASY1SVXPSP 	Natural calamities&#44; such as floods&#44; tropical cyclones&#44; tornadoes&#44; and tidal bores occur almost every year
822_189 	AKZBNT298EBKI 	Most of the areas in Bangladesh are situated at only 10 meters higher than sea level.
822_190 	ADC8VBKOVOCRR 	It is believed that about 10% of the land of this country would be flooded if the sea level were to rise by 1 meter.
822_192 	AAF85ZPWB65DY 	According to the 2005 census&#44; the population of Bangladesh is 140.6 million.
822_193 	A3F9QBUALMKO1 	It is the 8th most populated country in the world.
822_194 	ADC8VBKOVOCRR 	Here the population density is 1055 per sq. km&#44; which is highest in the world (except a few islands and city states).
822_195 	ADC8VBKOVOCRR 	Annual rate of growth of population is 2.2% (as per the calculation of 2005)
822_196 	AKZBNT298EBKI 	The female-male ratio in Bangladesh is 100:106
822_197 	A3F9QBUALMKO1 	Most of the people in the country are children and teenagers where 60% of total population is 0-25 years old and only 3% are 65 years or more.
822_198 	AAF85ZPWB65DY 	The average life expectancy is 63 for men and as well as women for this country.
822_200 	A16IVTYAYSV3SA 	The Nobel Prize winner Prof. Mohammad Yunus has contributed a lot in alleviating the poverty of the villages of Bangladesh.
822_202 	A16IVTYAYSV3SA 	The rest 2% are originated from Bihar and from different tribes.
822_203 	A1D39ISETGHJB 	There are 13 tribes in the area of Parbatta Chottagram of this country.
822_204 	A16IVTYAYSV3SA 	Among them the Chakmas are the most prominent.
822_205 	A16IVTYAYSV3SA 	Among the tribes beyond the hilly regions of Chattagram&#44; the Garos and Santhals are important.
822_206 	ADC8VBKOVOCRR 	The mother language of 99% of the population of the country is Bengali which is the national language of Bangladesh.
822_207 	ADC8VBKOVOCRR 	In government and commercial jobs&#44; English is also used.
822_208 	A16IVTYAYSV3SA 	But in 1987&#44; it was decided that apart from external affairs all other official works would be carried in Bengali language.
822_209 	A2LG0SJYIUIRNC 	Religion of 89% population of this country is Islam and 9% of the total population is Hindu.
822_210 	A16IVTYAYSV3SA 	The rest 1 percent are Buddhists&#44; Christian or worshiper of fire.
822_211 	A16IVTYAYSV3SA 	Among the Muslims&#44; most are Sunnis.
822_212 	A16IVTYAYSV3SA 	Among the total population&#44; only 21.4% live in cities and the rest 78.6% live in the villages.
822_214 	A2HFASY1SVXPSP 	Nevertheless&#44; a huge portion of Bangladesh&#39;s population live under the Poverty threshold.
822_215 	A2HFASY1SVXPSP 	On an average about half of the total population earn only 1 dollar per day
822_216 	A3KUMU0O6YW08U 	CONTAMINATION DUE TO PRESENCE OF ARSENIC IN THE WATER IS AMONG THE MAJOR HEALTH RELATED PROBLEM IN BANGLADESH.
822_217 	A16IVTYAYSV3SA 	In the latter half of the 1990s there had been outbreaks of malaria and dengue in Bangladesh.
822_218 	A2HFASY1SVXPSP 	As of 2005&#44; the literacy rate in Bangladesh is about 41 percent; according to the Unicef survey literacy rate among men is 50 percent and that among women is 31 percent.
822_219 	A2HFASY1SVXPSP 	But several literacy programs set by the government are increasing the literacy rate in the country.
822_220 	A2HFASY1SVXPSP 	Among these the food for education program&#44; introduced in 1993&#44; is the most successful one.
822_221 	ADC8VBKOVOCRR 	Primary education is compulsory in the country.
822_222 	A31II4QBW2DURA 	Apart from this &#44; the scholarships for the education of women in the secondary and higher secondary level  have lead to the progress of women&#39;s education
822_226 	A31II4QBW2DURA 	The farmer in the paddy field.
822_228 	A3F9QBUALMKO1 	The occupation of two-thirds of the people of the country is agriculture.
822_229 	A3F9QBUALMKO1 	Rice&#44; Jute and Tea are the main agricultural crops of the country.
822_230 	ADC8VBKOVOCRR 	The types of rice produced in the country are Aus&#44; Aman&#44; Boro and Eri.
822_231 	A2HFASY1SVXPSP 	Once Jute&#44; known as the Golden Fibre of Bangladesh&#44; was the main source of foreign currency in Bangladesh
822_232 	A3F9QBUALMKO1 	These days in Bangladesh most of the foreign currency comes from readymade garment exports and a large amount of the earned currency is spent on importing raw materials.
822_233 	A16IVTYAYSV3SA 	For availability of cheap labor and some other necessary factors a good amount of domestic and foreign investment have surged into this inlet since 1980.
822_234 	A2LG0SJYIUIRNC 	According to the calculation of year 2002 total export of cloth was 500&#44;00&#44;00&#44;000 US $.
822_235 	A16IVTYAYSV3SA 	Around 3 million laborer work in the ready-made garments industry out of which 90% are women.
822_236 	A3F9QBUALMKO1 	In Bangladesh another vast foreign exchange earner is the income from the money sent by non-resident Bangladeshis.
822_237 	A2WEPQZ7UNOYYF 	Per Capital income of Bangladesh people is 440 us dollar according to 2004 census.
822_238 	A16IVTYAYSV3SA 	According to the different economic indexes&#44; Bangladesh stands at the back bench&#44; but in the nation wise discussion of the World Bank in 2005&#44; education&#44; population control and other social development were highly complimented.
822_243 	A16IVTYAYSV3SA 	Since 1990 Bangladesh achieved a growth rate of 5% every year.
822_244 	A3F9QBUALMKO1 	Growth of middle and consumer class increased.
822_245 	A29I4DG0VTW9X3 	Bangladesh has been marked as the Next 11 country in the Goldman Sachs Analysis report of December 2005.
822_246 	A29I4DG0VTW9X3 	As per December 2005 Bangladesh Bank has estimated of 6.5% growth potential.
822_248 	A16IVTYAYSV3SA 	The Small Loan Program which was launched all over the country has performed a significant role in social development and poverty eradication in Bangladesh.
822_249 	A3F9QBUALMKO1 	Microcredit is introduced by the founder of Grameen Bank (Bank of the Villages)&#44; Muhammad Yunus.
822_250 	A16IVTYAYSV3SA 	During the latter half of the 1990 the Gramin Bank had a member strength of 2.3 million; the other assisting organization also had around 2.5 million members.
822_251 	A29I4DG0VTW9X3 	The government of Bangladesh has established Export Processing Zone or EPZ in different areas of the country to develop it&#39;s industries and export.
822_252 	A3F9QBUALMKO1 	These are regulated by Bangladesh Export Processing Zone Authority or BEPZA.
822_253 	A29I4DG0VTW9X3 	Most of the export and import trades of the country are performed through Chittagong sea-port&#44; Mongla sea-port and Benapole land-port.
822_254 	A16IVTYAYSV3SA 	Transportation and Communication
822_256 	A31II4QBW2DURA 	That is why the river way or the water way is considered the oldest modes of transportation of Bangladesh.
822_257 	A31II4QBW2DURA 	The river ways and the sea transportation system  both are equally important.
822_258 	A28YA9BQFLXOPT 	As a river bounded country the internal journeys are often done by water ways&#44; but for outside transportation sea way is used.
822_259 	A31II4QBW2DURA 	There are about 8400 Kilometer long internal naval water ways in Bangladesh.
822_260 	A28YA9BQFLXOPT 	Among this about 5400 Km is open for boat travel in the all year.
822_261 	A28YA9BQFLXOPT 	And the remaining 3000 Km is used during Rainy Season.
822_262 	A31II4QBW2DURA 	Generally the water ways through  the rivers of the southern and the eastern region of the country are more suitable for navigation
822_263 	A31II4QBW2DURA 	The important river ports of the country are situated in this region only - Dacca&#44; Narayan gunj&#44; Chandpur&#44; Barishal&#44; Jhhalkathi&#44; Khulna etc.
822_264 	A2LG0SJYIUIRNC 	For travel purpose most passenger use small boat(94%)and rest 6% use steamer.
822_265 	A31II4QBW2DURA 	The sea transportation system is primarily used for business and trades
822_266 	AKZBNT298EBKI 	The two main sea port of Bangladesh Chittagong and Mongla are used for this purpose.
822_268 	A2JPXAF2MC24F7 	Creating infrastructure of roads is quite expensive here due to its geographical location and geographical infrastructure.
822_269 	A2JPXAF2MC24F7 	in 1947 total length of roads in this country was 1931.17 kilometer which reached the level of 178859 kilometer during 1996-1997.
822_270 	AKZBNT298EBKI 	In 2010&#44; the national highway length is 3478 kilometers&#44; regional highway length is 4222 kilometers and feeder/district road is 13248 kilometers.
822_271 	A3F9QBUALMKO1 	To develop the roads in this country&#44;Bangladesh Road Transport Corporation (BRTC) was established.
822_272 	A2JPXAF2MC24F7 	Though almost all the districts are connected through roads&#44; due to absence of infrastructures like (bridge&#44; culvert) ferry transport becomes inevitable.
822_273 	A2JPXAF2MC24F7 	Though large vehicles like truck&#44; bus etc. are used for district level transportation&#44; for regional or local level transports minibus&#44; tractor etc. mechanical means of transport are used.
822_274 	AKZBNT298EBKI 	Additionally&#44; many non mechanical vehicles from old ages such as: rickshaw&#44; oxcart&#44; push-cart etc are used.
822_275 	A3F9QBUALMKO1 	Also railways are used from the British period as the safest mode of transportation.
822_276 	A2HFASY1SVXPSP 	There was a total of 2857 route kilometres of rail lines in Bangladesh at the time of its getting independence.
822_277 	ADC8VBKOVOCRR 	According to the calculation of 2008-2009&#44; there is 2835 km of railway in Bangladesh.
822_278 	A28YA9BQFLXOPT 	In this country there are two types of railway lines&#44; meter-gauge and broad-gauge.
822_280 	A2HFASY1SVXPSP 	An organization named Bangladesh Railway is working to manage the rail lines centrally.
822_281 	A28YA9BQFLXOPT 	Other than that to travel and carry goods within or outside Bangladesh there is also the facility to travel by air ways.
822_282 	A2HFASY1SVXPSP 	Passenger can travel domestically to different local airports through the domestic air passenger carriers&#44; while international travel can be done only from the international airports.
822_283 	A28YA9BQFLXOPT 	The most important international airport of Bangladesh is Shahjalal International Airport at Kumirtola.
822_284 	A2HFASY1SVXPSP 	Apart from this there are international airports at Chittagong and sylhet.
822_285 	A28YA9BQFLXOPT 	The National Air Association of Bangladesh is Biman Bangladesh Airlines.
822_286 	A16IVTYAYSV3SA 	The communication system of Bangladesh was mainly based on the postal exchange.
822_287 	A2HFASY1SVXPSP 	But over the ages a significant change has taken place in Bangladesh&#39;s communication system with the introduction of Telegraph&#44; Telephone and Mobile phones in recent times.
822_289 	ADC8VBKOVOCRR 	The tradition of Bengali language and literature is older than thousand years.
822_290 	A2HFASY1SVXPSP 	The earliest literary text in Bengali is the 8th century Charyapada
822_292 	A2HFASY1SVXPSP 	Bengali literature reached its full expression in the nineteenth and twentieth centuries.
822_293 	A2HFASY1SVXPSP 	With its greatest icons poets Nobel laureate Rabindranath Tagore and Kazi Nazrul Islam Bengali literature reached its full expression.
822_294 	A16IVTYAYSV3SA 	The folk literature of Bengal is also very rich; it is found in &#39;Mainmansingha Geetika&#39; (songs of Maimonsingha&#44; a district of Bangladesh)
822_295 	A2HFASY1SVXPSP 	The musical tradition of Bangladesh is lyrics-based&#44; with minimal instrumental accompaniment.
822_296 	A3PSUT241Y12MZ 	Among the folk songs of rural Bengal- the Hindu stoical songs of devotees&#44;folk song&#44;boat song&#44;river song&#44;spiritual song&#44;temple song for Shiva&#44;tournament songs for the poets etc. are notable.
822_297 	A3PSUT241Y12MZ 	Musical instruments which are used along with the folk songs of rural areas are; single stringed&#44;double stringed&#44;drums&#44;flute etc.
822_298 	A3PSUT241Y12MZ 	Various types of dances are customary in Bangladesh.
822_299 	A3PSUT241Y12MZ 	Among these are: tribal dance&#44;folk dance&#44;classical dance etc.
822_300 	A3F9QBUALMKO1 	Folk theater is also popular in the country&#39;s village area.
822_301 	A3PSUT241Y12MZ 	Every year about 80 to 100 Bengali films are made  from the Dhaka based film industry.
822_305 	A16IVTYAYSV3SA 	A bride with the marriage-dress&#44; an example of the handicrafts of Bangladesh.
822_307 	A3PSUT241Y12MZ 	On the other hand&#44;the number of regular newspaper readers are less&#44;only 15% of total population.
822_308 	A16IVTYAYSV3SA 	Among the public media&#44; in the periphery of radio&#44; the Bangladesh Betar and the BBC Bangla are most popular.
822_309 	A2HFASY1SVXPSP 	Apart from the state-owned television channel Bangladesh Television there are more than five satellite television channels
822_310 	A3F9QBUALMKO1 	The Bangladeshi traditional cuisines are influenced by Indian and Middle East cuisines.
822_311 	A2HFASY1SVXPSP 	Rice&#44; lentil and curry are traditionally favorite foods&#44; that&#39;s why the nation is called the nation of rice and fish curry.
822_312 	A3F9QBUALMKO1 	Cottage cheese and other sweets like Rasgulla&#44; Chamcham are very famous in the country.
822_313 	A2HFASY1SVXPSP 	The sari (shai) is by far the most widely worn dress by Bangladeshi women.
822_314 	A2HFASY1SVXPSP 	The salwar kameez (shaloar kamiz) is also quite popular among the girls specially in the urban areas.
822_315 	A2HFASY1SVXPSP 	The lungi&#44; a kind of long skirt&#44; is the main dress for men&#44; but western attire is widely adopted in the urban areas.
822_316 	A2HFASY1SVXPSP 	Men also wear the kurta-paejama combination on special occasions.
822_317 	A2HFASY1SVXPSP 	Eid ul-Fitr and Eid ul-Adha&#44; being the most important holidays in the Islamic calendar&#44; are the subject of major festivals along with the main Hindu festival Durga Puja.
822_319 	A2JPXAF2MC24F7 	However&#44; the biggest social festivals of Bangladesh are the two Ids - Id-ul-Fitre and Id-ul-Azha.
822_320 	A3F9QBUALMKO1 	The previous day of Eid ul-Fitr is known as &#39;Chand Raat&#39; (the night of the moon) in Bangladesh.
822_321 	A2JPXAF2MC24F7 	Small children observe this day with fireworks and by bursting crackers.
822_322 	A2JPXAF2MC24F7 	At the time of Id-ul-Azha many animals are brought to the city for sacrifice and regarding this there exists a festive pomp among the little children.
822_323 	A3F9QBUALMKO1 	In these two Eids&#44; many of people of Bangladesh leave Dhaka and visit their birth place in the villages.
822_324 	A3F9QBUALMKO1 	Apart from that the major secular festival in Bangladesh is Pohela Baishakh (Bengali New Year).
822_325 	A3F9QBUALMKO1 	In village areas&#44; Nobanno&#44; Poush parbon etc festivals are also practiced.
822_326 	A3F9QBUALMKO1 	Apart from that&#44; Independence Day&#44; Victory Day and 21st February are also celebrated as Shohid Dibosh (Martyrs&#39; Day) in remembrance of Language Movement Day.
822_330 	A2JPXAF2MC24F7 	A cricket match between India and Bangladesh held in Sher-e-Bangla National Cricket Stadium&#44;Dhaka.
822_331 	AKZBNT298EBKI 	Kabadi is the national sport in Bangladesh.
822_333 	A2HFASY1SVXPSP 	Sports that require many accessories hardly belong to Bangladesh.
822_334 	A2HFASY1SVXPSP 	The main sports that don&#39;t need any accessories are &quot;dariabandha&quot;&#44; &quot;Ekka-dokka&quot;&#44; &quot;gollachut&quot;&#44;&quot;kanamachi&quot;&#44; &quot;borof pani&quot;&#44; &quot;bouchi&quot;&#44; &quot;choa-chuyee&quot;&#44; etc.
822_335 	AKZBNT298EBKI 	Among sports that are free from hassles of equipments or that utilize easily accessible equipments are DungGuli&#44; SatChara&#44; Ram-Sam-Jodu-Modhu or Chor-Dakat-Police&#44; Marble sports&#44; Ring sports etc. can be named.
822_336 	A3F9QBUALMKO1 	Other than at the National level&#44; swimming does not get any respect by the common people as a separate sports in Bangladesh as in village areas  learning to swim is compulsory.
822_337 	A16IVTYAYSV3SA 	Among the domestic games &#39;Ludo&#39;&#44; &#39;Sap-Ludo&#39; (Snakes and Ladders)&#44; Chess etc are very popular.
822_338 	AKZBNT298EBKI 	Additionally&#44; foreign sports such as Cricket and Football are also popular in this country.
822_339 	A16IVTYAYSV3SA 	In 1997&#44; the Bangladesh National Cricket Team won the ICC Trophy&#44; and as a result&#44; they got the opportunity for the first time to participate in the World Cup Cricket tournaments.
822_340 	A2HFASY1SVXPSP 	At that time Bangladesh managed to defeat Scotland and Pakistan in the first round.
822_341 	A2HFASY1SVXPSP 	Bangladesh Cricket team was granted the elite Test cricket status in 2000.
822_342 	A2HFASY1SVXPSP 	Although the cricket team lacks in having continuous success&#44; thay have managed to win against almost all the leading cricket nations&#44; like: Australia&#44; Pakistan&#44; New Zealand and Srilanka.
822_343 	A2HFASY1SVXPSP 	Bangladesh managed two vital wins against India and South Africa in 2007 World Cup Cricket.
822_345 	A16IVTYAYSV3SA 	The first one was against Zimbabwe during 2004-05 and the second one was against West Indies during July 2009.
822_346 	A2HFASY1SVXPSP 	Other popular sports include field hockey&#44; handball&#44; swimming&#44; kabaddi and chess&#44;
822_347 	A2HFASY1SVXPSP 	So far four Bangladeshies have been granted International Grandmaster title in Chess and they are- Niaz Morshed&#44; Ziaur Rahman&#44; Abdullah Al Rakib and Rifat Bin Sattar.
822_348 	A3F9QBUALMKO1 	The Bangladesh Sports Control Board controls 29 other different sport federations.
822_349 	A16IVTYAYSV3SA 	Bangladesh is going to host the 2011 World Cup Cricket tournament jointly with India and Srilanka.
822_351 	ADC8VBKOVOCRR 	External Connection
822_352 	ADC8VBKOVOCRR 	About the Government and Administration
822_353 	ADC8VBKOVOCRR 	The official website of the Government of Bangladesh
822_354 	ADC8VBKOVOCRR 	The Secretariat of the Election Commission
822_355 	ADC8VBKOVOCRR 	The Official website of National Parliament
822_357 	A2HFASY1SVXPSP 	National Board of Revenue.
822_358 	ADC8VBKOVOCRR 	Bangladesh Telegraph and Telephone Board (BTTB)
822_359 	ADC8VBKOVOCRR 	A digital introduction to The Government of Bangladesh
822_361 	A3F9QBUALMKO1 	Banglapedia -National encyclopedia of Bangladesh
822_362 	A2HFASY1SVXPSP 	Description of activities of the United Nations in Bangladesh.
822_363 	ADC8VBKOVOCRR 	The Bangladesh Garment Manufacturers and Exporters Association (BGMEA)
822_364 	A3F9QBUALMKO1 	Federation of Bangladesh Chambers of Commerce and Industry (FBCCI)
822_365 	ADC8VBKOVOCRR 	The accounts of genocide in Bangladesh in 1971
822_367 	A2HFASY1SVXPSP 	Category: Bangladesh
822_369 	A2HFASY1SVXPSP 	Category: selected articles
82340_2 	A3F9QBUALMKO1 	Swine: Scientists think that Swine Influenza originated from swine.
82340_3 	ADC8VBKOVOCRR 	Swine Influenza is the influenza virus of pigs.
82340_4 	A16IVTYAYSV3SA 	In April&#44; 2009 it has been identified as the reason for human deaths in some countries in the world.
82340_5 	A31II4QBW2DURA 	This virus was primarily found in pigs&#44; which caused the flu in the pigs.
82340_6 	A31II4QBW2DURA 	Like other flu virus this virus also infects the respiratory system.
82340_7 	A28YA9BQFLXOPT 	Though previously it was thought that Swine Flu did not attacked man&#44; the virus found in the year 2009 is a combination of man&#44; pig and bird&#39;s influenza virus.
82340_8 	ADC8VBKOVOCRR 	This is influenza virus type A (H1N1).
82340_9 	A31II4QBW2DURA 	In June&#44; 2009&#44; the World Health Organization declared this disease as Pandemic as the new H1N1 virus was seen to be present74 Countries in the world
8428_10 	A1D39ISETGHJB 	The rate of urbanization is very high in Germany.
8428_11 	A1D39ISETGHJB 	Berlin is the capital and biggest city.
8428_12 	A2HFASY1SVXPSP 	However there are still some government offices in Bonn&#44; the ex-capital city of the then West Germany
8428_13 	A1D39ISETGHJB 	The main language here is German.
8428_14 	A3F9QBUALMKO1 	Two thirds of the people are either Catholic or Protestant Christians.
8428_15 	A31II4QBW2DURA 	Germans have contributed in many ways towards the Western civilisation.
8428_16 	A2HFASY1SVXPSP 	Many prominent writers&#44; artists&#44; architects&#44; musicians and philosophers were born in Germany.
8428_17 	A3F9QBUALMKO1 	Johann Sebastian Bach and Ludwig van Beethoven are most recognized in the world.
8428_18 	A2HFASY1SVXPSP 	Friedrich Nietzsche&#44; Johann Wolfgang von Goethe and Thomas Mann are the pioneers of German literature.
8428_20 	A3F9QBUALMKO1 	The economy of this country is the third largest in the world after USA and Japan.
8428_21 	A3F9QBUALMKO1 	Germany exports iron&#44; steel&#44; machineries&#44; tools and motor vehicles.
8428_22 	A2JPXAF2MC24F7 	Germany is one of the important economic forces of the European Union.
8428_23 	A2JPXAF2MC24F7 	In the World War II in 1945 Allies of United Kingdom&#44;  the United States of America&#44; France and Soviet Union defeated Germany.
8428_24 	A2JPXAF2MC24F7 	The Allies divided the country into four parts: the British&#44; the France&#44; the Americans and the Soviet Union army were in control of each of the regions.
8428_25 	AKZBNT298EBKI 	When alliance between Soviet Union and western powers broke at the end of the 1940&#39;s&#44; the Soviet area turned into German democratic republic aka east Germany.
8428_26 	A3F9QBUALMKO1 	And the rest three regions which were controlled by western powers combined and made Western Germany.
8428_27 	A2JPXAF2MC24F7 	Though Berlin&#44; the historical capital of Germany was quite inside the East Germany&#44; it was divided between the two countries.
8428_28 	A3F9QBUALMKO1 	But when many people started to migrate to the economically enriched and democratic West Germany&#44; East Germany built a wall in Berlin in 1961 and tightened the country&#39;s border.
8428_29 	A2JPXAF2MC24F7 	In 1989 the people of both East and West Germany broke down the Berlin wall.
8428_30 	ADC8VBKOVOCRR 	this incident is considered as a token of the end of the communism in East Europe and the reunification of Germany.
8428_32 	ADC8VBKOVOCRR 	But the different culture and customs of the two Germany creates problem in the social and economic arrangement of the unified Germany; high joblessness and the decrease of the rate of economic growth is mentionable out of those.
8428_34 	ADC8VBKOVOCRR 	The Peoples of Germany
8428_35 	A16IVTYAYSV3SA 	It is assumed that during the ancient Nordic Bronze age or the pre-Roman Iron age the primitive communities of Germany started to live here.
8428_36 	A16IVTYAYSV3SA 	During the 1st Century BC&#44; these primitive communities&#44; from South Scandinavia and North Germany had started forming their colonies to the south&#44; east and west of Germany.
8428_37 	A16IVTYAYSV3SA 	Due to this expansion they came in contact with the Cletis of Gaul and Iranian&#44; Baltic and Slavic communities of East Europe.
8428_38 	ADC8VBKOVOCRR 	Little is known about this early Germanic history
8428_39 	A3PSUT241Y12MZ 	So far what people came to know is through the documentary evidences of written correspondences between these nations and the Roman empire.
8428_40 	A2JPXAF2MC24F7 	Archaeological research revealed most of these information.
