787_0 	A15YKQU4TT7169 	Andhra pradesh is a state in india.
47017_84 	AL9K2BNO4E0F4 	In May 2005 French voters voted against the finalisation of European Constitutional Treaty&#44; but the Treaty of Lisbon&#44; which came later&#44; was affirmed by the Parliament in February 2008.
47017_87 	A3J1PP96QX14U0 	While Metropolitan France is located in Western Europe&#44; France also has a number of territories in North America&#44; the Caribbean&#44; South America&#44; the southern Indian Ocean&#44; the Pacific Ocean&#44; and Antarctica.
47017_88 	A3RS82XNENF2NT 	These territories have varying forms of government ranging from overseas department to overseas collectivity
47017_89 	A3J1PP96QX14U0 	France&#39;s overseas departments and collectivities share land borders with Brazil&#44; and Suriname  (bordering French Guiana)&#44; and the Netherlands Antilles (bordering Saint-Martin).
47017_90 	A3RS82XNENF2NT 	France possesses a wide variety of landscapes&#44; from coastal plains in the north and west to mountain ranges of the Alps in the south-east&#44; the Massif Central in the south-central and Pyrenees in the south-west.
47017_92 	A3RS82XNENF2NT 	Metropolitan France also has extensive river systems such as the Seine&#44; the Loire&#44; the Garonne&#44; and the Rhne&#44; which divides the Massif Central from the Alps and flows into the Mediterranean Sea at the Camargue.
47017_93 	A3RS82XNENF2NT 	Corsica lies off the Mediterranean coast.
47017_94 	AE9QK78PC9KRL 	France and UK currency is used all over the world
47017_95 	A3J1PP96QX14U0 	France&#39;s total land area&#44; with its overseas departments and territories (excluding Adlie Land)&#44; is 674&#44;843 km2 (260&#44;558 sq mi)&#44; 0.45% of the total land area on Earth.
47017_97 	A3J1PP96QX14U0 	Metropolitan France is situated between 41 and 51 North&#44; on the western edge of Europe&#44; and thus lies within the northern temperate zone
47017_98 	A3J1PP96QX14U0 	The north and northwest have a temperate climate&#44; while a combination of maritime influences&#44; latitude and altitude  produce a varied climate in the rest of Metropolitan France
47017_99 	A3J1PP96QX14U0 	In the south-east a Mediterranean climate prevails.
47438_10 	A3V7G0CFREWGTP 	On 4th July 1776 the 13 British colonies along the east coast expressed displeasure against British government&#44; declaring independence&#44; started war.
47438_11 	A3V7G0CFREWGTP 	The war ended in 1783 when the British government recognized America as an independent country.
47438_13 	A3RS82XNENF2NT 	during 19th and 20th century&#44;america&#39;s defence&#44;economy&#44;culture and poltical influence increased gradually
47438_14 	A3RS82XNENF2NT 	after the splitting of soviet union after the cold war&#44;america emerged as the only super power in the world
47438_15 	A3RS82XNENF2NT 	now america is playing a major role in the international affairs
47438_19 	A31PUL91ZMCDBU 	the name america came from an italian adventurer amerigo vasuchi at the start of 16th century
47438_20 	A3RS82XNENF2NT 	in july 4&#44;1776 this word was used officially in the declaration of the independence for the first time
47438_21 	A3RS82XNENF2NT 	the name united states of america came in to use from november 15&#44;1977
47438_22 	A31PUL91ZMCDBU 	in daily usage this country is called U.
47438_25 	A3V7G0CFREWGTP 	It is called by various names like US&#44; America&#44; States
47438_26 	A3V7G0CFREWGTP 	In the past&#44; there used to be another name Columbia&#44;after the name of the European sailor Christopher Columbus who discovered America&#44; for some period of time(at present a country in South America continent is called by this name)
47438_30 	A3V7G0CFREWGTP 	United States of America are spans over almost the whole western hemisphere
47438_31 	A9S6WLEVWHI1T 	Except for Alaska&#44; America is surrounded by Pacific Ocean to the west&#44; Atlantic Ocean to the east &#44; Mexican trench to the south east&#44; Canada  to the north and Mexico to the south.
47438_32 	A9S6WLEVWHI1T 	Geographically&#44; Alaska is largest among all states in America
47438_33 	A9S6WLEVWHI1T 	Canada seperates this state from remaining parts of America.
47438_35 	ADMENGADDLNDK 	There is Arctic Ocean to its north and Pacific ocean to its south.
47438_36 	ADMENGADDLNDK 	America is the third biggest country in geographical area (First two: Russia&#44; China).
47438_37 	ADMENGADDLNDK 	Some small islands in the Pacific ocean also come into the America (Example: Purot Rico&#44; Guvam).
47438_38 	ADMENGADDLNDK 	The coastal part of the Atlantic ocean starts from the Wide Mount mountains in the dense rain forest region.
47438_40 	ADMENGADDLNDK 	The Mississippi-Missouri river flows exactly in between the America from North to South.
47438_41 	A2M3NIA5MQX8G3 	It is a world&#39;s 4th biggest river.
47438_42 	ADMENGADDLNDK 	The Rakhi mountains are spread over the North and South direction.
47438_43 	ADMENGADDLNDK 	The Setwee lands that are located to the east of these&#44; are spread towards the west.
47438_45 	A3T1KZYNIUW9IN 	Sierra Nevada mountain range are parallel to rocky mountains spread along pacific ocean.
47438_46 	A3T1KZYNIUW9IN 	Mckinley mountain in  Alaska is the highest mountain with 20320 feet/6194 meters in America.
47438_47 	A1WCVMMFKMAB0C 	In many of the Islands that are under the control of  America volcanoes are common.
47438_48 	AI1HQO6HZCVT7 	hawai state is consists of islands of volcanoes
47438_51 	ADMENGADDLNDK 	Many kinds of climatic situations can be seen in America due to the biggest geographical area&#44; varieties in geographical characters.
47438_52 	ADMENGADDLNDK 	In many areas subtropical climate can be seen.
47438_53 	ADMENGADDLNDK 	Temperatures are high in Hawaii and Florida states.
47438_55 	A1G9LNGGD9IP1X 	Mainly desert climate in Niruti and Middle country temperatures in california are seen.
47438_56 	A1G9LNGGD9IP1X 	Floods and rains are more in Mexicao and nearby places.
47438_57 	A1WCVMMFKMAB0C 	In mid west strong typhoons will happen frequently
47438_60 	A1WCVMMFKMAB0C 	Families having dogs count to 39% with 7.75 crore  dogs. People are interested in growing pets as  1.5 crore families - different birds&#44; 9.36  crore families - cats&#44; 1.33 crore people - horse  genetics.
47438_61 	A1WCVMMFKMAB0C 	In world nation &#39;s security expenses&#44; America &#39;s  part counts to 44 percent.
47438_62 	A1WCVMMFKMAB0C 	25 Percent African Americans are poor people.  Homeless are 6.64 laks. 9.5 Percent unemployment rate  is present.
47438_63 	A1G9LNGGD9IP1X 	60% of Americans live in pollution.
47438_65 	A3J1PP96QX14U0 	Native Americans&#44; European immigrants
47438_66 	A3HKO3GZVZO3I0 	Before the Ice age&#44; this continent is not like this.   The continent is linked with Siberia in Asia continent&#44;  the land is a distance of 1000 miles (1600 K.M)
47438_68 	A3HKO3GZVZO3I0 	This is called Baring bridge.
47438_70 	AN9IFNKPF7N1I 	They gain the experience in Agriculture and building construction.
47438_71 	A2ZKW63AU1NQ21 	Due to the fall of Bearing bridge in the ocean at end of ham era( approximately 11000 years back) their connections with Asian continent had broken.
47438_72 	A3HKO3GZVZO3I0 	In the year 1493&#44; on November19th the European sailor  Cristophar Colambus discovered America&#44; he entered in   Purtorico Island. Up to this all the world forgot the   existence of two America continents.
47438_73 	A3J1PP96QX14U0 	This new world was named as America
47438_75 	A3V7G0CFREWGTP 	With the effect of infectious diseases that entered America soon after the arrival of the Europeans&#44; most of the native Americans became extinct.
47438_76 	AI5E50BGAUZH2 	10 largest cities in America
53252_10 	A3V7G0CFREWGTP 	TTD is maintaining 19 records for ornaments
53252_12 	A3V7G0CFREWGTP 	Guardians committee:in the year 1933&#44; the British government established an executive council&#44; to perform the duty of maintaining Thirumala temple  under the headship of commissioners.
53252_13 	A3V7G0CFREWGTP 	again in 1951&#44; as per the Hindu religious law&#44; all the commissioners were transformed as Executive officers
53252_15 	A3QL2TAO2U5TM9 	In law it was stated that the ruling of the temple would be done by the presidents union.
53252_16 	A3J1PP96QX14U0 	After TTD development authority has formed over the last seven and half decades there is a tremendous development done.
53252_17 	A3J1PP96QX14U0 	For the convenience of the pilgrims TTD has spent 26 thousand Indian rupees to built the steps for their walk.
53252_18 	A3J1PP96QX14U0 	They have initiated the Ghat road project as well
53252_21 	A3QL2TAO2U5TM9 	supervision of construction
53252_22 	A3J1PP96QX14U0 	26 thousand rupees for the steps for the pilgrims
53252_23 	A3J1PP96QX14U0 	Ghat Road: By April 10&#44; 1944 the Ghat road was ready
53252_25 	A1WCVMMFKMAB0C 	In Sravari temple the operations related to   Parakamani is channeled and daily offering   collecting box &#39;s collection counting system  is introduced.
53252_26 	A3J1PP96QX14U0 	There are many cottages built with the help of Donors
53252_27 	A1WCVMMFKMAB0C 	By 1978 second Ghat road work is also started.
53252_28 	A3RS82XNENF2NT 	PVRK prasad&#44;who worked as an executive oficer during 1978-82 fastened many development programmes
53252_31 	A3J1PP96QX14U0 	The construction of the building for free food supply
53252_32 	A1WCVMMFKMAB0C 	Constructing various projects like Annamacharya&#44;  Dasa Sahitya&#44; Veda Recording which created various  employment avenues.
53252_35 	A733OKTUS6NZE 	1983 NT Ramarao became Chief Minister. He gave importance to Tirumala-Tirupathi. It gave new boost to its development.
53252_37 	A1G9LNGGD9IP1X 	Vikuntam Queue complex was constructed.
53252_38 	A733OKTUS6NZE 	Started free food distribution program
53252_40 	A1GEUMI28IQ2PS 	The system of free tonsures was introduced in kalyanakatta.
53252_41 	A1G9LNGGD9IP1X 	Smooth roads were constructed in tirumala.
53252_42 	A1G9LNGGD9IP1X 	Foot walk way was improved and shade roof was constructed.
53252_43 	A1GEUMI28IQ2PS 	Telugu ganga river water was shifted to tirumala.
53252_45 	A8VHPYIT5L7EA 	SVIMS&#44; a super speciality hospital was built under the control of TTD at Tirupathi
53252_46 	A8VHPYIT5L7EA 	BIRD is the hospital for diseases related to bones
53252_50 	A8VHPYIT5L7EA 	Srivari Temple built in magnificent black stone is decorated with gold covering.
53252_51 	A8VHPYIT5L7EA 	There used to be many private barbers for tonsuring at different places in Tirumala.
53252_52 	A3RS82XNENF2NT 	they revived that situation and formed an association of barbers and tonsured at a single place only
53252_53 	A20TYKNP46IORG 	There started a live telecast of God&#39;s Brahmotsavas from 1995 in Dooradarshan through out the country.
53252_55 	APDEI7F51RYRG 	&quot;Sudarshan bracelets&quot; system was created and introduced for easy viewing of Lord Srihari.
53252_56 	A20TYKNP46IORG 	Because of this &#44; devotees need not have to wait in queue
53252_57 	APDEI7F51RYRG 	TTD has started a special channel for Srihari.
53252_58 	AI5E50BGAUZH2 	It is Sri Venakateswara Bhakti Channel (SVBC)&#44; through this channel broadcasting started from this year(2008) June mesmerizing devotees in the spirituality.
53252_61 	APDEI7F51RYRG 	Early morning Devotional service
53252_63 	APDEI7F51RYRG 	Devotional service of garlanding with flowers
53252_66 	A1UX3BQYCDI1ZV 	At present&#44; the free food distribution lodge facility opposite to the tonsuring place&#44; provides food for 1500 only.
53252_67 	A1UX3BQYCDI1ZV 	The inflow of pilgrims to the sacred pilgrim center of Tirumala is gradually increasing.
53252_68 	AI1HQO6HZCVT7 	TTD has decided to build second dining facility near varahaswami guest house to accommodate this rush.
53252_71 	AH5BVSXF5DYYD 	In Tirupathi there is a is pratchaya research center for developmen of education.
53252_76 	ADMENGADDLNDK 	Hosptital for Leprosy patients
53252_77 	ADMENGADDLNDK 	Aswini Hospital was built in Tirumala
53252_78 	A3V7G0CFREWGTP 	Kalyanamasthu: As a part of the program that was conducted in  three phases till now&#44; TTD conducted marriages for nearly twenty thousand couples.
53252_80 	ADMENGADDLNDK 	: A special scene&#44; where the Swami himself roams in the streets for those who cannot reach him.
53252_81 	ADMENGADDLNDK 	: Training fishermen in the Vedic Karmas conveys the equality of all human beings.
53252_82 	ADMENGADDLNDK 	Recently it was decided to give a scholarship of Rs. 300 per month to each of those thousand students who secured more than 500 marks in the tenth class.
53252_83 	A3V7G0CFREWGTP 	Balaji Darshana Govundam... it is the name of the agreement package between TTD and Indian Railway Confectionery and Tourism Corporation.
53252_85 	AH5BVSXF5DYYD 	They will arrange for stay at Srinivasa Hotel and provide Archananantara&#44; Celluar Darshan tickets.
53252_86 	AI1HQO6HZCVT7 	journey starts from vijayawada daily on krishna express.
53252_88 	AH5BVSXF5DYYD 	At night stayed in Srinivasam hotel&#44;in Tirupati
53252_90 	AH5BVSXF5DYYD 	after that they went to visit the temples of Srikalahasthi and AliveluMangapuram
53252_91 	AH5BVSXF5DYYD 	After having lunch they went to visit the deviotional palces like Srinivasa Mangapuram&#44;Kanipakam
53252_93 	AH5BVSXF5DYYD 	Again night they stayed in Srinivasaprum hotel&#44;Tirupati
53252_95 	AI1HQO6HZCVT7 	Morning break fast and two times food is provided in train itself
53252_96 	A1Z53763UXALP 	The charges for third class AC are for adults Rs.2800 and for children(5-11)Rs.2400
53252_97 	AI1HQO6HZCVT7 	in sleeper class for adults it is Rs.2100 and children Rs.1950
53252_98 	APDEI7F51RYRG 	Since there is no darshan on week ends in Thirumala&#44; this package is only for five days from Secunderabad.
53283_10 	AQYLTGQE4K8FV 	In 1957 Western Germany is the permanent member of European Committee which in 1993 was changed to European Counsel
53283_11 	A3J1PP96QX14U0 	This became the part of Europe in 1999
53283_12 	AQYLTGQE4K8FV 	Germany is a 16 state parliamentary constitution
53283_14 	A1WCVMMFKMAB0C 	Germany has membership in UNO&#44; NATO&#44; G8&#44; G20&#44;  OECD and WTO.
53283_15 	A1WCVMMFKMAB0C 	Having equal GDP it is world&#39;s fourth largest  economic system and fifth largest country  in purchasing power.
53283_16 	A1G9LNGGD9IP1X 	It is in first position for exporting and second position for importing goods.
53283_17 	A1G9LNGGD9IP1X 	To tell exactly&#44; Germany is the third largest developed country in the world.
53283_19 	A1WCVMMFKMAB0C 	This country has developed healthy life style  and established vast security system for social  safety.
53283_20 	A1WCVMMFKMAB0C 	This country is playing a vital role in European  countries and executing partnerships at world level.
53283_21 	A1WCVMMFKMAB0C 	Germany is being recognized as science and technichal  helper in may areas.
53283_24 	A30DCB3TFOQO3B 	Julius Caesar took the word &#39;germania&#39; from gallic word for the people living in the eastern area of the Rhine.
53283_26 	A30DCB3TFOQO3B 	thumbnail|left| From B.C 750 to A.D 1  spread of German tribes.
53283_27 	A30DCB3TFOQO3B 	Ethnic origins of German tribes are dated back in Nordic Bronze Age and to be close in the Iron Age before the Romans.
53283_29 	A30DCB3TFOQO3B 	Except the written data about their relations with Roman Empire&#44;sound generation research and archeological surveys &#44;there is not much known about Germane history.
53283_30 	A30DCB3TFOQO3B 	During the rule of Augustus&#44;the Roman general Publius Cinctulus Verse started war against germania (The word used by the Romans to define the land from Rhine to Ural mountains). And during this period the Germanic tribes continued their tribal identity learned about the Roman strategies and war techniques.
53283_31 	A30DCB3TFOQO3B 	In 9 A.D&#44; Varus led 3 Roman legions were defeated by Cheruscian leader Arminius in Teutoburg forest battle.
53283_32 	A30DCB3TFOQO3B 	Thus modern Germany from Rhine to Danube remained outside the Roman Empire.
53283_34 	A3V7G0CFREWGTP 	3rd century witnessed the origin of West Germanic tribes: Alamanni&#44; Franks&#44; Chathi&#44; Saxons&#44; Friscians&#44; Sicambre and Turinge.
53283_35 	A3RS82XNENF2NT 	around 260&#44;german people crossed the limus and danube boundaries and entered the roman ruling areas
53283_36 	A3V7G0CFREWGTP 	Holy Roman empire (962-1806)
53283_37 	A3V7G0CFREWGTP 	Princely crown of Holy Roman empire (made as nearly as the year 1000 AD)
53283_39 	A3RS82XNENF2NT 	from the eastern side of the division&#44; Mediterranean empire born and was in various forms from 962 to 1806
53283_40 	A3V7G0CFREWGTP 	Its landscape expanded from Eider river in the north to the Mediterranean coast in the south.
53283_41 	A3V7G0CFREWGTP 	This was often indicated as Holy Roman empire(or Old empire)&#44; to adjust its name for its reduced land area&#44; from 1448&#44; it was officially called Sacrum Romanum Imperium Nationis Germanica (Holy Roman Empire of the German Nation).
53283_42 	A3V7G0CFREWGTP 	Martin Luther&#44; (1483-1546)started Protestant Revolution.
53283_44 	A3RS82XNENF2NT 	Under the reign of the Salian emperors (10241125)&#44; the Holy Roman Empire absorbed northern Italy and Burgundy&#44; although the emperors lost power through the Investiture Controversy
53283_45 	A3RS82XNENF2NT 	Under the Hohenstaufen emperors (11381254)&#44; the German princes increased their influence further south and east into territories inhabited by Slavs&#44; preceding German settlement in these areas and further east (Ostsiedlung)
53283_46 	A3RS82XNENF2NT 	Northern German towns grew prosperous as members of the Hanseatic League.
53283_47 	A3RS82XNENF2NT 	Starting with the Great Famine in 1315&#44; then the Black Death of 134850&#44; the population of Germany plummeted.
53283_49 	A2M3NIA5MQX8G3 	Later it was developed as seven powerful kingdoms.
53283_50 	A3RS82XNENF2NT 	Beginning in the 15th century&#44; the emperors were elected nearly exclusively from the Habsburg dynasty of Austria.
53283_51 	A3RS82XNENF2NT 	The monk Martin Luther published his 95 Theses in 1517&#44; challenging practices of the Roman Catholic Church&#44; initiating the Protestant Reformation.
53283_52 	A3RS82XNENF2NT 	A separate Lutheran church became the official religion in many German states after 1530
53283_54 	A8F58O3WZN974 	The population of German states has declined almost by 30%.
53283_55 	A3J1PP96QX14U0 	Even after the peace in 1648&#44; to this day&#44; there remain vast differences between the former East Germany and West Germany  and thus it is still common to speak of eastern and western Germany distinctly.
53283_56 	A8F58O3WZN974 	Indivisibility between Austrian-Habsburg monarchy and Prussia has governed German history since 1740.
53283_57 	A8F58O3WZN974 	As a result of Napoleon&#39;s war in 1806&#44; the empire had been conquered and had perished.
53283_59 	A3J1PP96QX14U0 	Frankfurt parliament in 1848
53283_60 	A8F58O3WZN974 	After the defeat of Napoleon Bonaparte in 1814&#44; The Congress of Vienna has established The German Confederation(Deutsher bund) containing 39 independent states.
53283_61 	A3J1PP96QX14U0 	The reestablishment politics had oppositions and friends as well&#44; they wanted a balance and this lead to freedom fights
53283_62 	A8F58O3WZN974 	So&#44; these have been followed by Austrian minister Metternich&#39;s new systems of suppression.
53283_64 	A3J1PP96QX14U0 	During this era many Germans had been stirred by the ideals of the French Revolution&#44; and nationalism became a more significant force&#44; especially among young intellectuals.
53283_65 	A3J1PP96QX14U0 	For the first time&#44; the colours of black&#44; red and gold were chosen to represent the movement&#44; which later became the national colours
53283_66 	AL9K2BNO4E0F4 	With the inspiration from the successful revolutions in Europe leading to establishment of the French Republic&#44; intellectuals and common people started the revolutions in German states in 1848.
53283_67 	AL9K2BNO4E0F4 	In the beginning&#44; the kings conceded the freedom demands of the people.
53283_69 	A3J1PP96QX14U0 	Conflict between King William I of Prussia and the increasingly liberal parliament erupted over military reforms in 1862&#44; and the king appointed Otto von Bismarck the new Prime Minister of Prussia. Bismarck successfully waged war on Denmark
53283_70 	AL9K2BNO4E0F4 	In 1864&#44; Bismark successfully declared war against Denmark.
53283_71 	A3J1PP96QX14U0 	Prussian victory in the Austro-Prussian War of 1866 enabled him to create the North German Federation (Norddeutscher Bund) and to exclude Austria&#44; formerly the leading German state&#44; from the affairs of the remaining German states.
53283_72 	AL9K2BNO4E0F4 	German Empire (1871 - 1918)
53283_74 	AL9K2BNO4E0F4 	When German empire took shape as the biggest part of the Prussian state&#44; in 1871 it got unified into a modern national state&#44; by the name Germany.
53283_75 	A3J1PP96QX14U0 	After Franco lost in the Franco-Persia war on 18th Jan&#44; 1871. This made germany the official Kingdom
53283_76 	AL9K2BNO4E0F4 	Hohonozlner dynasty of Prussia ruled the new empire with Berlin as the capital.
53283_77 	AL9K2BNO4E0F4 	This empire was formed with all the territories divided into small pieces&#44; excepting Austria (&#44; or &quot;small Germany&quot;).
53283_79 	AL9K2BNO4E0F4 	In the period after the unification Germany&#44; the policies of Emperor William helped secure&#44; with the help of other nations&#44; Germany&#39;s place as a great race.  This prevented war through the political channels and isolated France.
53283_80 	A3J1PP96QX14U0 	Under William II&#44; however&#44; Germany&#44; like other European powers&#44; took an imperialistic  course leading to friction with neighbouring countries. Most alliances in which Germany had been previously involved were not renewed&#44; and new alliances excluded the country.
53283_81 	A3J1PP96QX14U0 	The remaining national territory and Berlin were partitioned by the Allies into four military occupation zones.
53283_82 	A3J1PP96QX14U0 	The western sectors&#44; controlled by France&#44; the United Kingdom&#44; and the United States&#44; were merged on 23 May 1949&#44; to form the Federal Republic of Germany
53283_84 	AB2NS03H37EGV 	Left Kingdom of Germany (1871-1918)&#44; Powerful kingdom of Persia which is in blue color.
53283_85 	AI1HQO6HZCVT7 	germany&#39;s imperialism spread out of the country and demanded its part in Africa from other European countries
53283_86 	AB2NS03H37EGV 	Committee of Berlin divided Africa in between countries of Europe.
53283_87 	AB2NS03H37EGV 	German occupied some more parts of Cameroon&#44; Togo&#44; South East of Africa and East Africa.
53283_89 	AI1HQO6HZCVT7 	the murder of Austria prince on June 28&#44;1914 led to first world war.
53283_90 	A2M3NIA5MQX8G3 	It is a powerful war in which germany looses war in the hands of central groups.
53283_91 	AI1HQO6HZCVT7 	it is estimated that two million german soldiers had died in first world war.
53283_92 	AI1HQO6HZCVT7 	In November 1918&#44; German revolution started and the king William II and other german ruling kings lost their power.
53283_94 	A15YKQU4TT7169 	In protest agreement after normal traditional war.its mediation&#44; and it left the defeated central powers.
53283_95 	ADOXDQPX17PHN 	It was opined that this agreement in Germany was treated in the other way&#44; that it is an extension of an insult from War and its cruelty was shown as a promotion of Nazism in the country after that period.
53283_96 	ADOXDQPX17PHN 	Weimar Republic (1919-1933)
53283_97 	ADOXDQPX17PHN 	The declaration of Bertolt Brecht.
53283_99 	ADOXDQPX17PHN 	During the early of period of German Revolution&#44; the rule of Government was ended and Germany was declared as Republic.
55057_10 	A19ESYNYEAABIB 	The city of Tokyo has population of 30 million&#44;and which is called the city of highest density in the world.
55057_11 	A10WWCR8CVY4CH 	Japan is the first largest country according to National Income
55057_12 	A19ESYNYEAABIB 	This is the nominal G.D.P. in the world.
55057_14 	A10WWCR8CVY4CH 	This is one of the developed countries
55057_15 	A3S0F1GABMBS9P 	And it is  the worlds 4th largest exporter and 6th largest importer.
55057_16 	A10WWCR8CVY4CH 	First in Scientific and Machinery field
55057_19 	A3S0F1GABMBS9P 	The correct words in Japanese language are &quot;Nihon&quot; or &quot;Nippon&quot;.
55057_20 	A3S0F1GABMBS9P 	In official usage the word &quot;Nippon&quot; is used.
55057_21 	A3S0F1GABMBS9P 	But in normal usage &quot;Nihon&quot; is used.
55057_22 	A3V7G0CFREWGTP 	The meaning of these two words is &quot;starting of sun&quot; or &quot;land of rising sun&quot;
55057_24 	A1WCVMMFKMAB0C 	Before that&#44; that means before the relations between  China with Japan were not developed&#44; Japan was   called as &quot;Yamato&quot; (Hi no moto).
55057_25 	A3V7G0CFREWGTP 	this also means &quot;the place where the sun originates&quot;
55057_26 	A1WCVMMFKMAB0C 	By the time International business started&#44; the name  &quot;Japan&quot; came into existence.
55057_27 	A3S0F1GABMBS9P 	Marcopola  first wrote this countries name as Cipangu in Chinese language.
55057_29 	AI5E50BGAUZH2 	The word &#39;Japan&#39; is introduced to Europe in 16th century from Chinese language Malaya(Indonesia) language to Portuguese.
55057_30 	A15YKQU4TT7169 	In 1577 it was first written as Giapan in english.
55057_32 	A8VHPYIT5L7EA 	In Japan&#39;s cluster of islands sign of residence was seen as Paleolithic culture by  30th millennium B.C
55057_34 	A20TYKNP46IORG 	Primarily they used to farm.
55057_35 	A20TYKNP46IORG 	The ornaments and bowls which are found at this place are identified as the oldest.
55057_37 	A8VHPYIT5L7EA 	Vessel belonging to the time 3000
55057_38 	A20TYKNP46IORG 	The oldest clay bowl is found here &#44; which belongs to 10500 B.C.
55057_40 	AQYLTGQE4K8FV 	After the Completion of Ice Age There Have been mainly two important parts in the history of Japan&#44;one of these is making of the clay articles.
55057_41 	AQYLTGQE4K8FV 	This has astonished many archeologists because generally if anything great was discovered it usually is discovered first in large landed areas and then it is perished into smaller areas&#44;but in Japan which is a small island the clay articles were first discovered.
55057_42 	AI5E50BGAUZH2 	The ceramic vessels here are twelve thousand seven hundred years old.
55057_45 	AI5E50BGAUZH2 	people who came from china and Korea have introduced some of these methods
55057_46 	AI5E50BGAUZH2 	At this time Japan is considered as a famous for agriculture in the society&gt;
55057_47 	AQYLTGQE4K8FV 	This picture shows you Statue of Buddha from a plae called Kapuukuraa.
55057_48 	AI5E50BGAUZH2 	In the beginning of the Chinese Han&#39;s book it was written about three kingdoms in Japan.
55057_50 	A16T3RNH5IT4AY 	Even though Buddhism spread later in Japan&#44; Buddhist sculpture was highly influenced by China
55057_51 	A16T3RNH5IT4AY 	After Asuka&#44; Buddhism started to get significant patronage from the rulers community.
55057_52 	A16T3RNH5IT4AY 	In the 8th century in the &#39;Nara Period&#39; with Japan as the epicenter a new kingdom formed.
55057_53 	A19ESYNYEAABIB 	The King Ashoka had defeated the King kojo koyudu and taken over his kingdom
55057_55 	A16T3RNH5IT4AY 	Ancient documents&#44; and history was documented into texts with Kojiki (712) and Nihon Shoki (720)
55057_56 	A16T3RNH5IT4AY 	Before this&#44; during the Yamato rulers Asuka period&#44; Fujiwara-kyo (Yamato Kingdom) used to be the capital.
55057_57 	A16T3RNH5IT4AY 	In 784&#44; the emperor Kammu shifted the capital from Nara to Nagaoka-ky&#44; and moved it later in 794 to Heian-ky (present day kyoto).
55057_58 	APDEI7F51RYRG 	tokyo was the capital of japan for 1000 years.
55057_60 	A1UX3BQYCDI1ZV 	Japanese art&#44; Japanese music&#44; Japanese culture have developed.
55057_61 	A1UX3BQYCDI1ZV 	Japanese national anthem was written during this time.
55057_62 	A1UX3BQYCDI1ZV 	thumb|200px|Japanese ship used for trading with Asian countries - with red colored symbol (1634)
55057_63 	A1UX3BQYCDI1ZV 	thumb|200px|during Boshin war Samurai belonging to the Satsuma clan - around 1867.
55057_65 	A1UX3BQYCDI1ZV 	In 1185 with Shogun system and various groups fighting within themselves&#44; seeds of transformation sprouted.
55057_66 	A1UX3BQYCDI1ZV 	During the time of &quot;Kakamura&quot; (1185-1333) Zen Budhdhism from China&#44; entered Japan.
55057_67 	A1UX3BQYCDI1ZV 	During 1274-1281 representatives of Kakamura Shogun effectively faced the Mongolian invasions.
55057_68 	A1UX3BQYCDI1ZV 	A typhoon that lashed during this period was very helpful to the Japanese.
55057_70 	A19ESYNYEAABIB 	The problems had arisen after the incident.
55057_71 	A733OKTUS6NZE 	Because of internal warfare&#44; started Nengo&#39;s reign in 1467.
55057_72 	A1WCVMMFKMAB0C 	In 16th century Christian Missionaries and Portugese  business people has landed for the first time on  Japan &#39;s land.
55057_73 	A733OKTUS6NZE 	Since then&#44; business and cultural programs were increased between Japan and foreign countries.
55057_75 	A733OKTUS6NZE 	In the leadership of &quot;Tayotomi Hidoyoshi&#44;&quot; country became united in 1590.
55057_76 	A1WCVMMFKMAB0C 	Between 1592  and 1598 Japan attacked Korea for two  times.
55057_77 	APDEI7F51RYRG 	but  korea soldiers was defeated by china ming kings.
55057_78 	A19ESYNYEAABIB 	After that in the year 1600&#44;internal war had broken out.
55057_80 	A20TYKNP46IORG 	For at least two and half decade Japan has stood alone&#44; keeping no relations with other countries
55057_81 	A2M3NIA5MQX8G3 	This period is also called summer period.
55057_82 	ADMENGADDLNDK 	In this age&#44; the study of Japan was done by Japan itself.
55057_83 	ADMENGADDLNDK 	This process is called Kokugaku or &#39;National study&#39;.
55057_85 	ADMENGADDLNDK 	On 31 March 1854&#44; under the leadership of America&#39;s commander of Army Mathew Verry&#44; America&#39;s &#39;Black ships&#39; forcibly destroyed Japan&#39;s peace.
55057_86 	A20TYKNP46IORG 	The things that have happened after that has brought a lot of trouble to politics and economy in the country Japan.
55057_87 	A20TYKNP46IORG 	with the help of modern ruling &#44; people representation their politics have improved
55057_88 	A20TYKNP46IORG 	this kind of transition is called Meiji transformation.
55057_90 	A1RAFJLFW2X2V6 	It made several wars to extend it&#39;s power.
55057_91 	A2ZKW63AU1NQ21 	First China- Japan War took place during 1894-1895.  Russia-Japan war took place during 1904-1905.
55057_92 	A2ZKW63AU1NQ21 	Japan took possesion of Taiwan&#44; Korea&#44; South Sakhalin&#44;
55057_93 	A2ZKW63AU1NQ21 	During the begining of 20th century Japan became very strong.
55057_95 	AI5E50BGAUZH2 	He expanded his power after that and conquered Manchuria in 1931.
55057_96 	A2ZKW63AU1NQ21 	All other countries in the world protested this act of Japan.
55057_97 	A2ZKW63AU1NQ21 	For this Japan as a mark of protest has come out of United nations organization.
55057_98 	AI5E50BGAUZH2 	In 1936 Saji makes agreement with Germany against Communist.
56050_12 	A1UX3BQYCDI1ZV 	The last part of the urinary system&#44; the corpus spongiosum from the middle extends up to and opens through the urinary opening or meatus.
56050_13 	A1UX3BQYCDI1ZV 	This is helpful as opening for both urination and semen ejaculation.
