54_0 	AVWWDENWU115I 	See Hindi&#39;s entrance door also:
1405_240 	A9YS2FWO4UV7G 	There are more number of multilingual people in Mumbai as compared with any other metropolis of India.
1405_241 	A9YS2FWO4UV7G 	The official language of Maharashtra is Marathi.
1405_242 	A9YS2FWO4UV7G 	The other two spoken languages are Hindi and English.
1405_244 	A9YS2FWO4UV7G 	Apart from this&#44; it has coined some of its own words.
1405_245 	A3GI3466NOP5HJ 	the people of Mumbai call themselves Mumbaikar or Mumbaiites.
1405_246 	AFD2H8FZGWTBE 	English is preferred by the people engaged in high level business.
1405_247 	A3GI3466NOP5HJ 	Mumbai &#44; like other fast growing cities&#44; is also facing problems related to urbanization.
1405_249 	A2HEOMLWFGMMEQ 	Here the value of the land have become so high that people have to stay in small areas which is far away from their work places
1405_250 	A2HEOMLWFGMMEQ 	Because of this reason there is heavy traffic jam on roads&#44; and in public transports crowd keeps on increasing.
1405_251 	A3IHCT015XNNJK 	60% population of Mumbai lives in slum areas
1405_252 	A3IHCT015XNNJK 	&quot;Dharavi&quot;-Asia&#39;s second largest slum area is situated in Central-Mumbai where 8 lacs  (0.8 million) people are living.
1405_254 	A3NMRXYNBNFNUT 	The number of immigrants in Mumbai was around 11.2 lakhs in 1991-2001&#44; which contributed to about 54.7% in the total population growth.
1405_255 	A3NMRXYNBNFNUT 	The proportion of criminal cases (cases registered under Indian Penal Code) was 186.2 per 1 Lakh people&#44; which is slightly greater than the national average of 175.1. However&#44; considering the average - 312.3 cases per 1 lakh people of some cities with population greater than 10 lakhs&#44; Mumbai&#39;s average is lower.
1405_256 	A3NMRXYNBNFNUT 	Arthur Road Jail is Mumbai&#39;s prominent jail.
1405_260 	A3TMBSI2HW9NF4 	The culture of Mumbai is a mixture of traditional festivals&#44; cuisines&#44; music&#44; dance and theatre.
1405_261 	A3TMBSI2HW9NF4 	In this city one can experience multi-lingual and multifaceted lifestyles in a manner that is comparable with other capital cities around the world&#44; which include a plethora of cuisines&#44; entertainment and lifestyles.
1405_262 	A3TMBSI2HW9NF4 	Mumbai has historically been a prime business center.
1405_263 	A3TMBSI2HW9NF4 	It is because of this that people from many regions come here resulting in the harmonious co-existence of various cultures and religions.
1405_265 	AH89E958S7NST 	This industry was established through silent movies by Dada Saheb Palke.
1405_266 	A3TMBSI2HW9NF4 	It is only after this that the Marathi motion picture industry got off to a start.
1405_267 	A3TMBSI2HW9NF4 	In the early twentieth century&#44; the oldest film had started being broadcast here.
1405_268 	AH89E958S7NST 	Mumbai has a large number of cinema halls&#44; which show Hindi&#44; Marathi&#44; and English films.
1405_270 	A3NMRXYNBNFNUT 	The award ceremonies for The Mumbai International Film Festival and the Filmfare Awards are organized in Mumbai.
1405_271 	A3NMRXYNBNFNUT 	Despite the fact that most of the theater troupes that were formed during the British era have long been disbanded&#44; a rich theater culture has developed in Mumbai.
1405_272 	A3RITO7R5N0CKJ 	Not only Marathi and English languages are spoken  but other regional languages have also developed successfully.
1405_275 	A3NMRXYNBNFNUT 	&quot;Ganesh Chaturti&quot;&#44; is the most vibrant and enthusiastically celebrated festival in Mumbai.
1405_277 	A3NMRXYNBNFNUT 	Many private commercial as well as government art-galleries have been opened here.
1405_278 	A2EQZRRITDQ59I 	Among them jahangeer arts centre  and national modern arts centre are famous.
1405_279 	A3NMRXYNBNFNUT 	The Bombay Asiatic Society which was formed in 1833&#44; houses the oldest library in Mumbai.
1405_280 	A3NMRXYNBNFNUT 	The &quot;Chhatrapati Shivaji Maharaj&quot; museum (formerly known as Prince of Wales museum) is a famous museum located in Southern Mumbai where&#44; many artifacts related to the history of India are preserved.
1405_282 	A12T8G7H6WN13A 	The literature of a city will get international recognition when writers like Salman Rushdie and Arvind Adiga got The Booker&#39;s Prize.
1405_283 	A12T8G7H6WN13A 	A resident of the same time Eddie Caplan won the Nobel prize in the year 1908
1405_284 	A12T8G7H6WN13A 	Even Marathi literature has become modern with the passage of time.
1405_285 	A1FDJA0BZATTZC 	It is always visible in the works of Mumbai writers like Mohan Apte&#44; Anant Kanekar and Bal Gangadhar Tilak.
1405_289 	A12T8G7H6WN13A 	The Elephenta caves has been declared as a world heritage site.
1405_290 	A1FDJA0BZATTZC 	The architecture reflecting in Mumbai city&#39;s structures is mixture of Gothic&#44; Indo renenic&#44; Art deco and other contemporary architectural styles.
1405_291 	A12T8G7H6WN13A 	The building that were built during the British periods such as Victoria Terminus and Bombay University buildings are built on the Gothic style.
1405_292 	A12T8G7H6WN13A 	In their architecture one can clearly see European influence&#44; for instance German Gable&#44; Dutch style roofs&#44; Swiss style &#44; Roman style&#44; also one can see Indian style as well.
1405_294 	A3TMBSI2HW9NF4 	Examples of art deco construction can be found around Marine Drive and Oval Ground areas.
1405_295 	A3TMBSI2HW9NF4 	After Miami&#44; Mumbai has the largest number of buildings built in the art deco pattern in the world.
1405_296 	A3TMBSI2HW9NF4 	In the newer suburbs&#44; modern buildings can be found in greater numbers.
1405_297 	A3TMBSI2HW9NF4 	So far Mumbai has the largest number of skyscrapers in India.
1405_299 	A3TMBSI2HW9NF4 	(As per 2009) Founded in 1995&#44; Mumbai Landmarks Preservation Committee (MHCC) conserves the landmarks within the city.
1405_300 	A3TMBSI2HW9NF4 	Mumbai has two UNESCO landmark sites- Chhatrapati Shivaji Terminus and Elephanta caves. Popular tourist attractions in the city include Nariman Point&#44; Girgaum Chowpati&#44; Juhu beach and Marine Drive.
1405_301 	A3TMBSI2HW9NF4 	Essel World is the theme park here&#44; located close to Gorai beach.
1405_302 	A3TMBSI2HW9NF4 	Here Asia&#39;s largest theme water park&#44; Water Kingdom is also located.
1405_304 	AHSM0NCHR7DMZ 	The main festivals are Deepawali&#44; Holi&#44; Eid&#44; christmas&#44; Navratri&#44; dussehera&#44; Durga Pooja&#44; Maha-Shivratri and Muharram.
1405_305 	AGUEWXL636ANK 	Ganesh Chaturthi and Janmashtmi are the other two festivals which are celebrated with lots of fun and frolic.
1405_306 	AGUEWXL636ANK 	During Ganesh Utsav big stages are built in various places in the city and huge idols of Ganapati are established on this stages.
1405_307 	AHSM0NCHR7DMZ 	After ten days&#44; the holy idols immerse in the sea&#44; ans the day is known as Anant Choudas.
1405_309 	AGUEWXL636ANK 	The groups formed of boys and men would form pyramids and break the dahi handi.
1405_310 	AHSM0NCHR7DMZ 	Kala Ghoda Utsav(Celebration) is an art exhibition&#44; in which different forms of arts like music&#44; dance&#44; theatre and cinema are exhibited.
1405_311 	AGUEWXL636ANK 	Bandra Festival is celebrated by local residents for a week.
1405_312 	AGUEWXL636ANK 	Banganga Festival is a two day affair held yearly in the month of january .
1405_314 	A1V6P1ZE6Q8YEW 	Elephenta festival-is held every year at Elephanta island during the month of February.
1405_315 	A2IKFQQ6A9JVIT 	Indian Classical music and dance are the main attraction for thousands of Indian and foreign tourists.
1405_316 	A1V6P1ZE6Q8YEW 	A special holiday is celebrated on May 1 to celebrate the establishment of Maharashtra state anniversary which took place on 1st May&#44; 1960.
1405_317 	A2YYSK3D0KRFN 	The sister city agreement of Mumbai is in the following cities:
1405_326 	AH89E958S7NST 	Indian film industry Bollywood is situated in Mumbai.
1405_327 	A3GI3466NOP5HJ 	there are a lot of newspapers&#44; television channels and radio stations in Mumbai.
1405_328 	AHSM0NCHR7DMZ 	The main newspapers in marathi are Navkal&#44; Maharastra Times&#44; Loksatta&#44; Lokmat and Sakal.
1405_330 	A1NKIYEHUEU6NE 	The oldest newspaper of Asia&#44; `Bombay Samachar&#39; is published from Mumbai itself.
1405_331 	A1NKIYEHUEU6NE 	`Bombay Darpan&#39; was the first Marathi newspaper&#44; which was started by Balshastri Jabhekar in 1832.
1405_332 	A1NKIYEHUEU6NE 	Here&#44; many of the Indian and international TV channels are available.
1405_333 	AHSM0NCHR7DMZ 	This metro-city is also the center of many international media houses and publications.
1405_335 	A3TMBSI2HW9NF4 	The large selection of channels available in cable TV include ESPN&#44; Star Sports&#44; Zee Marathi&#44; ETV Marathi&#44; DD Sahyadri&#44; Me Marathi&#44; Zee Talkies&#44; Zee TV&#44; Star Plus&#44; Sony TV and other new channels such as Star Majha&#44; Aai Kai Marathi as well as channels in other languages.
1405_336 	A3TMBSI2HW9NF4 	Channels such as Sahara Samay Mumbai are exclusively devoted to Mumbai.
1405_337 	A3TMBSI2HW9NF4 	Other than these&#44; DTH format has not been able to increase in quantity due to its higher cost requirements.
1405_338 	A1ESKJFDQUMBL4 	Main DTH service providers are Dish TV&#44; Big TV&#44; Tata Sky and Sun TV.
1405_340 	A3TMBSI2HW9NF4 	Mumbai also has commercial radio broadcast distributors&#44; which include prominent ones such as World Sports&#44; Sirus and XM.
1405_341 	A3TMBSI2HW9NF4 	Bollywood&#44; India&#39;s movie industry is also located in Mumbai.
1405_342 	A3GI3466NOP5HJ 	Bollywood produces about 150-200 movies yearly.
1405_343 	A3TMBSI2HW9NF4 	The name Bollywood arose from the American movie industry&#39;s name Hollywood by replacing its first letter with B for Bombay.
1405_345 	AKQGPDRQZ06OC 	due to this reason the direction&#44; cinematography etc  have improved a lot.
1405_346 	A1JNPLDD2U8VUC 	most of the films are made in Goregaon and film city studios.
1405_347 	AKQGPDRQZ06OC 	marathi film industry is also situated in Mumbai.
1405_354 	A12J6U15W1MWZ 	Rajbai steeple is very close to Mumbai University.
1405_355 	A1E27YTR0AV5GB 	the schools in Mumbai will be either municipal schools or common schools which is run by any organisation or individual.
1405_356 	A1E27YTR0AV5GB 	some of  these common schools get subsidy from government .
1405_357 	A1E27YTR0AV5GB 	these schools are connected with either Maharashtra state board or All Indian Council of Indian School Certificate Examinations or C.B.S.E.
1405_359 	A3IHCT015XNNJK 	In government operated school&#44; due to financial crisis there is lack of many thing but for poor are dependent on such school because they can afford expenses of costly private schools
1405_360 	A1FDJA0BZATTZC 	As per 10+2+3/4 policy&#44; after finishing ten years of school a student gets admission in to junior college (eleventh and twelfth standard).
1405_361 	A1FDJA0BZATTZC 	Here they have to choose among three fields: Arts&#44; Science and Commerce.
1405_362 	A1FDJA0BZATTZC 	After it they normally have to do a 3 year bachelors syllabus in their selected fields&#44; like Law&#44; Engineering or Medical excreta.
1405_364 	A3IHCT015XNNJK 	Indian Technological Institute (Mumbai)&#44; Virmata Jijabai Technological Institute (V.J.T.I)&#44; or University Institute of Chemical Technology (U.I.C.T.) are India&#39;s premier engineering and technical Institutes&#44; and S.N.D.T. (Shreemati Nathibai Damodar Thackersey)Girls&#39; Institute is Mumbai&#39;s Self-Finance college.
1405_365 	A1FDJA0BZATTZC 	Mumbai have Jamanalal Bajaj Institute of management studies&#44; S.P.Jain Management and research institute and many other management institutes.
1405_366 	A1FDJA0BZATTZC 	Mumbai situated Government Law College and Sid Denham College&#44; are India&#39;s oldest respectively Law and Commerce colleges.
1405_367 	A1FDJA0BZATTZC 	Sir J.J.School of Arts is Mumbai&#39;s oldest art college.
1405_371 	A2IQUX6LK8JUAR 	Brabourne Stadium is one of the oldest stadiums in the town.
1405_372 	A12RFYR8EDBN79 	cricket is one of the most favorite sports of the city and country.
1405_373 	A2IQUX6LK8JUAR 	Due to lack of grounds Street Cricket is more prevalent in Metros.
1405_375 	A2IQUX6LK8JUAR 	Mumbai Cricket Team represents the town in Ranji Trophy.
1405_376 	A2IQUX6LK8JUAR 	Until now they have received 38 titles&#44;  which is more than that received by any other teams.
1405_377 	A2IQUX6LK8JUAR 	The Mumbai Indius is one of the city teams&#44; which is the team of the city in Indian Premier League
1405_378 	A2IQUX6LK8JUAR 	There are two International Cricket Stadium in the city- Wankhede Stadium and   Brabourne Stadium. The largest cricket programme held in the city was the finals of Champions Trophy 2006.
1405_380 	A3NOO9K3CY1YU5 	The world-famous Sachin Tendulkar and Sunil avaskar are among the famous cricket players of Mumbai
1405_381 	A2IMN0W9KNJRZO 	Because of the increasing popularity of cricket&#44; hockey became less popular.
1405_382 	A2IMN0W9KNJRZO 	Marata Warriors are the official team of Mumbai in premier league.
1405_383 	A3R0SD14UE0QQW 	In every February&#44; the Durbey Horse race takes place in Mumbai.
1405_385 	A3NOO9K3CY1YU5 	Mc-Dowells Durby is also sponsored in Durby club in the month of February/
1405_386 	A3R0SD14UE0QQW 	The lovers of Formula One Car Race are increasing here. In 2008&#44; the Forbes India (F1) Car was inaugurated in Mumbai.
1405_387 	A3NOO9K3CY1YU5 	In March 2004&#44; a chapter of world participation for Mumbai Grand Prix F-1 Powerfight race was conducted in Mumbai.
1405_393 	A9YS2FWO4UV7G 	The official website of the Municipal Corporation of Greater Mumbai.
1431_104 	A2CSX5G96MCRHK 	The map of India during the period of Mahabharath
1431_105 	A2CSX5G96MCRHK 	Mahabharath is the story of war between two families who belongs to Chandra tribe&#44; Pandavas and Kauravas.
1431_107 	AA4XJ5YP5SLN2 	This war is identified on different dates by indian and western scientist
1431_108 	A1GEUMI28IQ2PS 	According to the world famous indian mathematician and   astrologer varahamihar the mahabharat war had occurred  2880 years back.
1431_109 	A1GEUMI28IQ2PS 	According to the world famous indian mathematician and   astrologer Aryabatta the mahabharat war had occurred  on 26th  febrauary of 3102B.c.
1431_110 	A1GEUMI28IQ2PS 	The late 4th millennium date has a precedent in the calculation of the Kaliyuga epoch&#44; based on planetary conjunctions&#44; by Aryabhata (6th century). His date of February 18 3102 BCE has become widespread in Indian tradition (for example&#44; the Aihole inscription of Pulikeshi II&#44; dated to Saka 556 = 634 CE&#44; claims that 3735 years have elapsed since the Bharata battle.[26]) Another traditional school of astronomers and historians&#44; represented by Vriddha-Garga&#44; Varahamihira (author of the Brhatsamhita) and Kalhana (author of the Rajatarangini)&#44; place the Bharata war 653 years after the Kaliyuga epoch&#44; corresponding to 2449 BC
1431_112 	AA4XJ5YP5SLN2 	Most of the western astrologers like Michel Vitgel&#44; Mahabharat is fought in 1200 BC who call it as Iron Time of India (1200-800 BC)
1431_113 	AA4XJ5YP5SLN2 	Most of the astrologer of india calcute the war at 3036 BC as per B N Achar&#44; N S Rajaram&#44; K Sadanand&#44; Subash Kak but acoording to European astrologers its in 13 Nov 3143 BC
1431_114 	AA4XJ5YP5SLN2 	According to Indian astrologer P V Vartak war started on 16 oct 4461 BC
1431_115 	AA4XJ5YP5SLN2 	In Book Indica by Unani Ambasidor - Megahshnij when he came to india&#44; he met soldiers of Madhura at the bank of Yamuna River&#44; he has written in his book that these soldiers worshipped Godess named Herakals who is very powerful and is expected approx 138 generation back from chandragupta.
1431_117 	A1FDJA0BZATTZC 	But all of his sons were killed fighting with each other.
1431_118 	A1FDJA0BZATTZC 	Here it is clear that Heracles was Shrikrishna&#44; scholars call him Harikrisha joining with Shrikrishna because Shrikrishna was 138 generations earlier to Chandragupt so if we give 20-30 years to one generation then Shrikrishna&#39;s birth time comes as 3100-5600 B.C. hence by this base Mahabharata fight mush have happened 5600-3100 B.C.
1431_119 	A3NOO9K3CY1YU5 	The abridged story of Mahabharat
1431_120 	A1JNPLDD2U8VUC 	Main statement: The detailed story of Mahaharat.
1431_125 	A1ESKJFDQUMBL4 	Krishna and Arjuna in war ground.
1431_126 	A3NOO9K3CY1YU5 	According to the ancient Hindu scriptures&#44; Atri was born to Brahma&#44; Chandrama to Atri&#44; Budh to Chandrama and Ila-nandan Pururav to Budh.
1431_127 	A3NOO9K3CY1YU5 	Aayu was born to him&#44; Nahush to Aayu and Yayati was born to Nahush.
1431_130 	A1CWCJ8MKSQHPI 	Shantanu was born in the Kuru dynasty.
1431_131 	A1ZYNAB4UPQ1UF 	Shantanu gave birth to Ganga&#39;s son Bhishma.
1431_132 	A1ZYNAB4UPQ1UF 	Shantanu also fathered Chitrangad &amp; Vichitravirya from Satyavati.
1431_133 	A1ZYNAB4UPQ1UF 	Chitrangad was slain in war by a gandharva his namesake(Chitrangad)and king Vichiravirya died of tuberculosis.
1431_135 	A1CWCJ8MKSQHPI 	With Gandhari&#44; Dhritarashtra had a hundred sons. Duryodhan was the eldest of them all. Pandu had five sons- Yudhisthir&#44; Bhim&#44; Arjun&#44; Nakul and Sahadev.
1431_136 	A1CWCJ8MKSQHPI 	Dhritarashtra was blind by birth&#44; that is the reason why Pandu was crowned as the King.
1431_137 	A3NOO9K3CY1YU5 	Once when Pandu was hunting in the forest&#44; his arrow killed a sage who&#44; disguised as an animal&#44; was loving his wife.
1431_138 	A1CWCJ8MKSQHPI 	The ascetic gave him a curse that whenever he indulges in intercourse&#44; he will die.Upset with this&#44; Pandu gave Dhritarashtra the kingdom and migrated to the forest with his wives.
1431_142 	A23Y99P6PXHO5P 	In Varnavat (Presently Barnava) are located the protected ruins of Lakshagrah (House of Lac)
1431_143 	A1ZYNAB4UPQ1UF 	King Pandu advised Kunti to make use of boons &amp; mantras given by Durvasa Rishi. Using that mantra Kunti invited Dharma &amp; got son Yudhishthir from him. Similarly&#44; she gave birth to Bhima from Vayudev and Arjun from Indra afterwards.
1431_144 	AWWVSZ5LGJGS5 	Madree learned the mantra from Kunti and gave birth to Nakul and Sahadev from Ashwinkumars.
1431_145 	AWWVSZ5LGJGS5 	One day King Pandu was on excursion with Madree in the forest on the banks of Sarita. Pandu was suffering from a sexual curse who became attracted to Madree and because of the curse&#44; he died after attempting to have sex with her.
1431_147 	A23Y99P6PXHO5P 	Before marriage Kunti had given birth to Karna with the help of Sun but due to the fear of public embarrassment she had floated Karna in the river Ganges.
1431_148 	A23Y99P6PXHO5P 	The chariot driver of Dhritrashtra had saved him and raised him.
1431_149 	A1ZYNAB4UPQ1UF 	Karna was very keen to learn archery &amp; other arts of war. When Dronacharya rejected him&#44; he learned the art from Parashuram.
1431_150 	A23Y99P6PXHO5P 	In childhood&#44; Duryodhan&#44; with the clever mind of Shakuni tried a number of times to kill the Pandavas and during their youth when Yudhishthira was declared as the prince&#44; Duryodhana sent the Pandavas to the Lakshagrah (house of lac) and set it on fire. But with the help of Vidur the Pandavas were saved and came out of the burning house of lac.
1431_155 	A6UOPDHGI9D8D 	Arjun was able to shoot the fish in the   Matsya king&#39;s court.
1431_156 	A1PLAF8O3FYUBN 	From there the Pandavas went to the Ekchakra township and disguising themselves as ascetics started staying in the house of a brahmin.
1431_157 	A1PLAF8O3FYUBN 	Later&#44; on the advise of Vyas&#44; they went to Panchal where Droupadi&#39;s Swayamvara ( an ancient custom permitting the woman to choose her own husband) was about to take place.
1431_158 	A1JNPLDD2U8VUC 	There one after other all the kings and princes tried to shoot the fish but they failed in it.
1431_160 	A1PLAF8O3FYUBN 	Going by the words of Mother Kunti&#44; the five Pandavas accepted Droupadi as their wife.
1431_161 	A6UOPDHGI9D8D 	During the marriage ceremony of draupadi&#44; Duryodhan and  others including Drupad&#44;dhrasthdum doubted that those  five bhramins were Pandavs
1431_162 	A1PLAF8O3FYUBN 	Therefore&#44; in order to test them Drupad invited them to his court.
1431_163 	A1PLAF8O3FYUBN 	At first Drupad and Drishtadyumn showed them their treasury&#44; but the Pandavas didn&#39;t show any kind of interest in the ornament and precious stones kept there.
1431_165 	A2HYN509OGM53T 	Due to their activities&#44; Drupda becomes confident that these are Pandva in the form of Brahmans.
1431_166 	ATA8X60VC3SSB 	The establishment of Indraprasth.
1431_170 	A2HYN509OGM53T 	Along with Srikrishna&#44; Pandav went to Khandavavan while seeing the Inderaprastha made by blissful demons and Vishvakarma.
1431_171 	A2HYN509OGM53T 	Before the Dropadi Savaymvar (ceremony prevalent in ancient India in which the bride chose her husband&#44; all assumed Pandavs as dead except Vidur and therefore Dratrastra nominated Duryodhan as Prince.
1431_173 	A2GGFBEGFXJFRS 	There Arjuna along with Krishna defeated all the deities and burned the Khandav forest by stopping the rain by his arrows&#44; thus giving satisfaction to the fire deity.
1431_174 	A2HYN509OGM53T 	As a result of this Arjun gets celestial Gandiv bow and best chariot and Srikrishan gets Sudarshan Chakra form the Agnideva(Fire God).
1431_175 	A2GGFBEGFXJFRS 	Indra looking at his son&#39;s bravery became very happy.
1431_176 	A2HYN509OGM53T 	He swept away the forest of Khandavprastha.
1431_178 	AGUEWXL636ANK 	The city became like a second paradise.
1431_179 	A3RITO7R5N0CKJ 	As told by Indra divine sculptor Vishwkarma and Maya together  built the grand Indrapuri city on the Kandava forest&#44; which was named as Indraprasta.
1431_180 	AGUEWXL636ANK 	Draupadi was insulted and pandavas were sent to jungle.
1431_184 	A3RITO7R5N0CKJ 	Draupadi was insulted in the Kaurav&#39;s assembly.
1431_186 	AGUEWXL636ANK 	Their progress was unbearable for duryodhan and thus duryodhan&#44; yudhistir&#44; karna and shakuni got yudhisthir involved in gambling and thereby won over his kingdom&#44; pandavas and draupadi very easily and they even tried to disrobe draupadi of her dress.
1431_187 	AZX0WRH12YUBH 	but Gandhari&#44; Mother of Durodhana intervened and stopped it.
1431_188 	A3RITO7R5N0CKJ 	Dhrutharastra once again inspired by Duryodhan ordered him to gamble again with him.
1431_189 	AGUEWXL636ANK 	It was decided that the party who loses will have to wear deer clothing and go to jungle and live there for 12 years.
1431_191 	A112IE8PQYXT3Q 	Thus after getting defeated in gambling. Yudhishthira went to forest with his brothers.
1431_192 	A1CWCJ8MKSQHPI 	After spending twelve years in the forest he went to Viratnagar for a year for &quot;Agyaatvaas&quot;(to go in hiding)
1431_193 	A1CWCJ8MKSQHPI 	When the Kauravas started stealing the cows of Viratnagar&#44; Arjun defeated them.
1431_194 	A1CWCJ8MKSQHPI 	By the time the Kauravas recognized the Pandavas&#44; the duration of the Agyaatvaas was over.
1431_196 	A3NOO9K3CY1YU5 	Messenger of Peace Shri Krishna and Gita-advice at the beginning of battle.
1431_200 	A1CWCJ8MKSQHPI 	The magnanimous incarnation of Krishna
1431_201 	A1CWCJ8MKSQHPI 	Dharmaraj (a king of religion) Yudhishthir prepared to  lead a union of seven different armies against the Kauravas.
1431_202 	A1CWCJ8MKSQHPI 	At first&#44; Krishan approached Duryodhan as a messenger.
1431_204 	A3P2WQO8VESWF2 	On hearing the words of Krishna Duryodhan refused to give even the land equivalent to the tip of the needle to the Pandavas and decided to have war.
1431_205 	AGUEWXL636ANK 	After saying this he was ready to make lord shri Krishna a prisoner
1431_206 	A3P2WQO8VESWF2 	That time in the Assembly Lord Srikrishna using his spell displayed his absolute impregnable universal form and frightened every one.
1431_207 	A1JNPLDD2U8VUC 	after this he went to Yudhishtira and told him to fight with Duryodhana.
1431_209 	AGUEWXL636ANK 	Arjun retired from the war by watching pitamaha Bhisma and teacher Drone and other teacher on the opposite side.
1431_210 	A3P2WQO8VESWF2 	Then Lord Srikrishna told him &quot; Parth&quot;
1431_211 	A1JNPLDD2U8VUC 	Bheeshma and others Gurus do not deserve your feelings.
1431_212 	AGUEWXL636ANK 	Human body is perishable&#44; but soul never perish.
1431_214 	ATA8X60VC3SSB 	&#39;I am Brahma&#39;- In this way you understand the identity of that soul
1431_215 	A1GXPMH7IJYHWN 	observe the dharma of khyatriya taking shelter of karmyag mantaining balance between success or failure&#44;
1431_216 	A112IE8PQYXT3Q 	Thus after Shri Krishna talked for a long time about Gyanyog&#44; Bhaktiyog and Karmyog&#44; Arjun mounted his chariot again and blew his horn for war.
1431_217 	ATA8X60VC3SSB 	Bhishm was the fist commander of the army of Duryodhan
1431_219 	A112IE8PQYXT3Q 	A great war started between these two.
1431_220 	A112IE8PQYXT3Q 	Including Bhishma&#44; all the warriors of Kaurava side started to hit Pandava army and Shikhandi and his fellow Pandavs started to make Kauravas the target of their arrows.
1431_221 	A112IE8PQYXT3Q 	This war between Kaurava and Pandava army appeared to be a war between demons and gods.
1431_222 	ATA8X60VC3SSB 	This war seemed very joyful to the Gods who were standing in the sky and watching the war.
1431_228 	A3UFEKO26BGZJF 	Bhisma lying on the bed of arrows
1431_229 	A3UFEKO26BGZJF 	Bhisma fought for 10 days and with his arrows killed most of the army from the Pandavas side.
1431_230 	A3UFEKO26BGZJF 	The death of Bhisma was according to his wish.
1431_232 	A9YS2FWO4UV7G 	Bhishma said Pandavas should fight him keeping Shikhandi in frontfore.
1431_233 	A3UFEKO26BGZJF 	Bhisma considered Shikandi as a girl and so he would not use his weapons against him.
1431_234 	AVWWDENWU115I 	On the 10th day of the war Arjuna seated Shikandi in front of his chariot and seeing Shikandi sitting in front of the chariot Bheeshma sacrificed his bow and Arjuna with his flurry of arrows made him sleep on the arrows|
1431_235 	A12J6U15W1MWZ 	Then Achary Drona assumed the burden of Commander
1431_237 	AYDB3VGUW1ESM 	Virat and Drupad as well as King Dronroopi drowned in the sea.
1431_238 	AYDB3VGUW1ESM 	However then the Pandavas maliciously convince Drona that Ashvadhama has died.
1431_239 	A1O9BHBJKVI5PS 	Then Acharya Drona being disheartened discarded his arms and weapons and after that attained Yoga Samadhi and discarded his body.
1431_240 	A1O9BHBJKVI5PS 	At this moment Drushtadumnya cut-off the head of Drona in Yoga Samadhi with a sword dropping it to the ground.
1431_245 	A1O9BHBJKVI5PS 	Battle of Karna and Arjun - After the slaying of Drona Karna became the captain of the Kaurava army.
1431_246 	A6UOPDHGI9D8D 	There was a magnificent war between Karna and Arjun which  was even more powerful than the battles between the   Gods and demons.
1431_247 	A1O9BHBJKVI5PS 	During the battle of Karna and Arjun&#44; Karna slaughtered many heroes of the enemy with his arrows.
1431_248 	A23Y99P6PXHO5P 	The battle was becoming impasse but then Karna was distracted when one of the wheels of his chariot got stuck in the ground.
1431_250 	AYDB3VGUW1ESM 	Then Shri Krishna&#44; advises Arjun to kill and take revenge of Abhimanyu&#39;s killing and reminded him of Draupadi insult and his promise to kill Karna. After which Arjun picks up the godly weapon and dismounts Karna&#39;s head.
1431_251 	A3GTXOXRSE74WD 	Subsequently&#44; king Shalya became the commander of Kaurav army&#44; but he lasted only up to half day in the war.
1431_252 	AOG9H27586IOW 	By afternoon he was killed by King Udhishtir.
1431_256 	AOG9H27586IOW 	The kiiling of Duruyodan by Bheemasena.
1431_258 	AYDB3VGUW1ESM 	After the entire army of Duryodhan was killed&#44; he and Bhimsen fought with the &#39;Gadha&#39;.
1431_259 	A2CSX5G96MCRHK 	Bhima  slaughtered  him with mace.
1431_260 	A2CSX5G96MCRHK 	As a revenge against this Ashwathathma killed the Akshouhini army&#44; the five children of Draupati&#44; her relatives from Panchaladesha and Drishtyudhumna.
1431_261 	AOG9H27586IOW 	Then Arjun overpowered Aswathama and removed the precious stone from the forehead.
1431_263 	A3M23KS0CLAUNZ 	Her pregnancy was aborted&#44; but due to God Krishna&#39;s blessings the child regained life.
1431_264 	A3M23KS0CLAUNZ 	This child of Uthara became famous as the king named Parishith.
1431_265 	A3M23KS0CLAUNZ 	At the end of this war Krithavarma&#44; Kripacharya&#44; Aswathama who are Kauravas and five Pandavas&#44; Sathyakhi and Sri Krishna which make seven belonging to Pandava side were the courageous fighters left.
1431_266 	A3GI3466NOP5HJ 	immediately Yudhishthir was crowned the King.
1431_271 	A3M23KS0CLAUNZ 	The journey of Pandavas to the heaven.
1431_272 	A3M23KS0CLAUNZ 	Due to the curses of Brahmins and Gaandhari&#44; the extreme of destruction of Yadhavakul has happened.
1431_273 	A3GI3466NOP5HJ 	Balbhadraji after his meditation&#44; took the form of a seven headed snake and went into the sea.
1431_274 	A3M23KS0CLAUNZ 	By seeing this&#44; Sri krishna also sat under a tree on meditation and due to the injury made by an arrow of a hunter&#44; he also reached the paradise.
1431_276 	A2CSX5G96MCRHK 	After hearing about the end of Yadavasfrom Arjuna when he returned from Dwaraka&#44; Yudhishtara was disappointed and he renounced the throne and after  passing on the crown to Arjuna&#39;s grandson Parikshit&#44; he  left for the Himalayas with Draupadi and his brothers in what was to be their last journey.
1431_277 	A2CSX5G96MCRHK 	All others except Yudhistara died during the journey. Yudhisthira&#44; the lone survivor and being of pious heart&#44; was invited by Dharma to enter the heavens as a mortal.
1431_278 	A2CSX5G96MCRHK 	At the end yudhishtara  was  placed  with his brothers in the holy chariot of Indra and went to heaven.
